time,latitude,longitude
2019-07-10T03:05:53.086Z,13.0929,-89.5139
2019-07-07T08:50:27.442Z,15.7591,-96.5878
2019-07-07T05:38:15.480Z,35.7681667,-117.5778333
2019-07-06T23:50:41.990Z,35.8235,-117.663
2019-07-06T13:06:55.260Z,35.9283333,-117.705
2019-07-06T09:29:20.970Z,35.8815,-117.7173333
2019-07-06T09:28:28.980Z,35.898,-117.7271667
2019-07-06T08:32:57.550Z,35.639,-117.4913333
2019-07-06T06:01:51.800Z,35.911,-117.7385
2019-07-06T04:36:55.310Z,35.9,-117.7376667
2019-07-06T04:18:55.790Z,35.9101667,-117.6848333
2019-07-06T04:13:07.080Z,35.5846667,-117.6145
2019-07-06T04:07:04.570Z,35.5551667,-117.5216667
2019-07-06T03:50:59.710Z,35.9035,-117.7001667
2019-07-06T03:47:53.420Z,35.9011667,-117.7495
2019-07-06T03:29:32.080Z,35.9028333,-117.7115
2019-07-06T03:27:11.370Z,35.5303333,-117.4313333
2019-07-06T03:27:07.010Z,35.9138333,-117.7258333
2019-07-06T03:25:27.970Z,35.8606667,-117.6708333
2019-07-06T03:23:50.720Z,35.8031667,-117.6178333
2019-07-06T03:23:19.870Z,35.861,-117.6778333
2019-07-06T03:22:48.300Z,35.891,-117.7365
2019-07-06T03:22:35.630Z,35.6166667,-117.4301667
2019-07-06T03:22:17.100Z,35.748,-117.5456667
2019-07-06T03:22:03.570Z,35.9216667,-117.729
2019-07-06T03:20:41.140Z,35.9496667,-117.7376667
2019-07-06T03:19:53.040Z,35.7695,-117.5993333
2019-07-06T03:16:32.480Z,35.7253333,-117.5535
2019-07-05T11:07:53.040Z,35.7603333,-117.575
2019-07-04T19:21:32.090Z,35.6715,-117.4788333
2019-07-04T18:56:06.420Z,35.716,-117.56
2019-07-04T18:39:44.440Z,35.6013333,-117.597
2019-07-04T17:33:49.000Z,35.7053333,-117.5038333
2019-07-03T09:39:26.638Z,12.5337,-87.6902
2019-07-03T06:09:34.903Z,16.8257,-99.7936
2019-07-03T00:55:09.799Z,15.5701,-90.9159
2019-06-30T23:34:53.538Z,14.3571,-92.9485
2019-06-30T06:37:54.020Z,18.436,-68.8531
2019-06-29T20:05:06.886Z,14.626,-93.9379
2019-06-24T10:12:07.866Z,14.5561,-92.8882
2019-06-23T19:35:51.514Z,17.2015,-94.7388
2019-06-23T03:53:02.890Z,40.2735,-124.3003333
2019-06-22T22:31:34.880Z,14.3896,-92.9597
2019-06-22T21:48:24.945Z,14.3501,-92.8838
2019-06-22T14:26:42.503Z,43.6792,-128.4694
2019-06-22T13:40:13.688Z,43.7798,-128.5184
2019-06-22T13:00:14.319Z,43.7936,-128.5192
2019-06-22T12:52:01.945Z,43.7669,-128.4022
2019-06-22T12:43:42.498Z,43.8516,-128.4773
2019-06-22T08:50:24.953Z,39.216,-99.4259
2019-06-16T17:25:23.138Z,18.5738,-101.7714
2019-06-16T15:30:35.828Z,17.2048,-94.6392
2019-06-14T18:36:25.561Z,14.3296,-93.1107
2019-06-14T18:12:59.159Z,14.3823,-93.0192
2019-06-14T18:08:18.817Z,14.1149,-93.1573
2019-06-14T16:34:45.784Z,14.4321,-93.1762
2019-06-14T16:26:26.921Z,14.3561,-93.1616
2019-06-14T11:37:52.285Z,11.7419,-87.2144
2019-06-13T03:31:12.130Z,14.4642,-90.3759
2019-06-11T18:49:45.654Z,16.9815,-85.4857
2019-06-10T09:12:18.942Z,13.0499,-88.5673
2019-06-06T15:25:39.742Z,16.3273,-98.1591
2019-06-04T19:12:07.288Z,17.1438,-99.9101
2019-06-01T01:44:17.800Z,13.053,-89.3427
2019-05-31T11:57:24.661Z,18.7604,-107.1447
2019-05-31T07:36:50.327Z,15.3963,-104.8104
2019-05-30T09:03:32.337Z,13.1994,-89.3056
2019-05-29T13:49:14.378Z,15.1469,-92.6854
2019-05-23T18:52:45.804Z,18.3786,-106.4572
2019-05-22T21:55:31.696Z,18.7369,-107.166
2019-05-22T21:16:31.541Z,15.2792,-94.5443
2019-05-22T04:13:28.605Z,14.0378,-91.3177
2019-05-16T22:30:55.318Z,12.0142,-89.0699
2019-05-16T16:28:37.563Z,12.5829,-87.9456
2019-05-16T16:22:17.474Z,12.6436,-87.8168
2019-05-15T14:49:34.655Z,19.6342,-109.0277
2019-05-14T21:50:09.089Z,19.683,-108.8873
2019-05-14T16:14:29.351Z,12.5013,-87.036
2019-05-13T19:03:40.384Z,13.8279,-92.7709
2019-05-12T08:18:38.163Z,15.4758,-78.145
2019-05-09T18:23:59.669Z,13.9108,-92.6577
2019-05-09T17:23:23.993Z,11.8233,-86.5256
2019-05-05T20:12:43.092Z,12.7893,-88.5215
2019-05-05T06:46:57.006Z,40.6203,-127.3338
2019-04-30T08:06:51.718Z,23.6401,-63.0768
2019-04-28T07:43:46.092Z,16.7696,-86.113
2019-04-22T20:45:22.351Z,16.048,-98.6498
2019-04-22T20:15:24.934Z,16.3586,-98.4853
2019-04-20T14:41:49.179Z,31.3428,-115.6838
2019-04-19T19:43:01.690Z,14.103,-92.3268
2019-04-19T13:36:08.165Z,11.9226,-86.9322
2019-04-16T04:04:50.240Z,14.4449,-90.7312
2019-04-14T16:48:17.930Z,17.3008,-95.3619
2019-04-14T02:53:11.011Z,14.1838,-93.1764
2019-04-12T14:06:27.097Z,40.3879,-127.0159
2019-04-12T13:31:45.629Z,14.2822,-93.1318
2019-04-10T14:11:31.833Z,44.0526,-128.8198
2019-04-09T18:08:46.055Z,44.6972,-112.5078
2019-04-08T22:25:42.595Z,12.5442,-89.1985
2019-04-07T06:43:26.751Z,11.3518,-86.6918
2019-04-06T21:01:41.937Z,30.8278,-114.0297
2019-04-04T00:27:53.593Z,15.4042,-94.7473
2019-04-03T13:55:54.959Z,11.3227,-85.5541
2019-04-01T03:36:05.653Z,15.5079,-93.0196
2019-03-29T04:07:20.564Z,12.1848,-89.3492
2019-03-27T23:48:48.070Z,12.5169,-89.1644
2019-03-26T19:07:24.730Z,12.426,-89.2513
2019-03-26T15:28:42.170Z,12.4705,-89.2804
2019-03-26T15:26:53.440Z,12.5638,-89.095
2019-03-26T15:01:45.610Z,12.548,-89.1671
2019-03-26T12:01:47.542Z,12.5488,-89.1992
2019-03-24T16:19:47.500Z,12.3736,-86.8321
2019-03-24T12:27:34.999Z,15.6215,-94.7688
2019-03-24T09:30:01.419Z,12.0851,-86.7566
2019-03-22T04:25:25.461Z,18.3916,-100.9322
2019-03-14T10:05:25.050Z,15.4869,-92.1619
2019-03-12T19:43:10.180Z,15.985,-95.1866
2019-03-12T13:08:57.170Z,17.93,-66.1798
2019-03-09T14:00:45.403Z,17.301,-100.6472
2019-03-05T21:52:53.194Z,14.3214,-92.9158
2019-03-05T17:43:59.622Z,14.3105,-92.9789
2019-03-05T15:58:20.273Z,14.3229,-93.0411
2019-03-05T13:44:57.986Z,14.3164,-93.0199
2019-03-05T11:41:10.275Z,14.4028,-92.9172
2019-03-04T17:29:50.120Z,13.7812,-92.3922
2019-03-03T16:57:33.880Z,16.4537,-95.0643
2019-03-03T15:25:53.559Z,18.4451,-101.4137
2019-03-01T02:01:28.610Z,13.6651,-88.4866
2019-02-27T13:53:23.040Z,15.3486,-91.7524
2019-02-27T09:16:36.921Z,14.5599,-93.7832
